District,Market Name,Variety,Modal Price (Rs./Quintal),Year,Month,Rainfall_Minus1,Rainfall_Minus2,Rainfall_Minus3,Total_Rainfall_3Months,Area_Hectare,Yield_TonnePerHectare
Gadag,Gadag,GCH,4212,2020,11,174.79,213.47,154.76,543.02,22519.04,427.9
Gadag,Gadag,GCH,3098,2020,3,0.0,1.94,4.86,6.800000000000001,22519.04,427.9
Gadag,Gadag,GCH,3890,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,2600,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,3166,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,3346,2020,6,69.48,92.99,6.06,168.53,22519.04,427.9
Gadag,Gadag,GCH,4115,2020,10,213.47,154.76,249.54,617.77,22519.04,427.9
Gadag,Gadag,GCH,2780,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,2995,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,3283,2020,6,69.48,92.99,6.06,168.53,22519.04,427.9
Gadag,Gadag,GCH,3000,2020,6,69.48,92.99,6.06,168.53,22519.04,427.9
Gadag,Gadag,GCH,3825,2020,11,174.79,213.47,154.76,543.02,22519.04,427.9
Gadag,Gadag,GCH,4383,2019,12,25.15,221.88,121.28,368.31,22583.94,424.9
Gadag,Gadag,GCH,5140,2020,6,69.48,92.99,6.06,168.53,22519.04,427.9
Gadag,Gadag,GCH,3247,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,4112,2020,10,213.47,154.76,249.54,617.77,22519.04,427.9
Gadag,Gadag,GCH,4075,2019,12,25.15,221.88,121.28,368.31,22583.94,424.9
Gadag,Gadag,GCH,3548,2019,12,25.15,221.88,121.28,368.31,22583.94,424.9
Gadag,Gadag,GCH,4549,2019,11,221.88,121.28,204.57,547.73,22583.94,424.9
Gadag,Gadag,GCH,3101,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,3201,2020,5,92.99,6.06,0.0,99.05,22519.04,427.9
Gadag,Gadag,GCH,3684,2020,6,69.48,92.99,6.06,168.53,22519.04,427.9
Gadag,Gadag,GCH,3800,2020,6,69.48,92.99,6.06,168.53,22519.04,427.9
Gadag,Gadag,GCH,3400,2020,7,83.01,69.48,92.99,245.48,22519.04,427.9
Gadag,Gadag,GCH,3572,2020,8,249.54,83.01,69.48,402.03,22519.04,427.9
Gadag,Gadag,GCH,4300,2020,1,4.86,25.15,221.88,251.89,22519.04,427.9
