District,Market Name,Variety,Modal Price (Rs./Quintal),Year,Month,Rainfall_Minus1,Rainfall_Minus2,Rainfall_Minus3,Total_Rainfall_3Months,Area_Hectare,Yield_TonnePerHectare
Belagavi,Belgaum,Pusa-Red,600,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,600,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,600,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,600,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,600,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,700,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,800,2018,12,16.11,51.47,126.24,193.82,8485.19,10286.86
Belagavi,Belgaum,Pusa-Red,1500,2024,10,291.38,364.65,937.57,1593.6,8878.67,9843.13
Belagavi,Belgaum,Pusa-Red,500,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,500,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,500,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,500,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,500,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,3,0.0,0.0,3.46,3.46,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,3,0.0,0.0,3.46,3.46,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,600,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,680,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
Belagavi,Belgaum,Pusa-Red,680,2019,2,0.0,3.46,16.11,19.57,8792.35,10075.29
