District,Year,Area_Hectare,Yield_TonnePerHectare
Belagavi,2018,8485.19,10286.86
Belagavi,2019,8792.35,10075.29
Belagavi,2020,8297.42,9809.27
Belagavi,2021,8213.26,10236.06
Belagavi,2022,8679.89,10141.04
Belagavi,2023,8181.04,10298.4
Belagavi,2024,8878.67,9843.13
Belagavi,2025,8319.59,9825.74
Belagavi,2026,8424.79,10030.88
Belagavi,2027,8534.52,9890.54
Dharwad,2018,9278.64,5853.59
Dharwad,2019,8985.27,5935.03
Dharwad,2020,9135.69,6085.37
Dharwad,2021,8900.42,5988.11
Dharwad,2022,9260.8,5820.18
Dharwad,2023,9274.68,5864.72
Dharwad,2024,8776.89,6144.14
Dharwad,2025,9603.26,6093.71
Dharwad,2026,8996.71,5838.57
Dharwad,2027,9345.05,5961.52
Gadag,2018,32305.03,6677.07
Gadag,2019,32010.76,6843.03
Gadag,2020,32764.13,6744.13
Gadag,2021,32941.84,6687.04
Gadag,2022,33730.83,6552.71
Gadag,2023,35150.58,6789.26
Gadag,2024,35049.57,6837.22
Gadag,2025,33902.69,6848.06
Gadag,2026,32192.4,6557.17
Gadag,2027,32047.15,6609.0
Haveri,2018,2766.85,5901.91
Haveri,2019,2889.98,5932.57
Haveri,2020,2736.71,5999.33
Haveri,2021,2697.53,6092.5
Haveri,2022,2678.96,6158.81
Haveri,2023,2874.17,5875.83
Haveri,2024,2659.65,6097.26
Haveri,2025,2855.88,6066.22
Haveri,2026,2873.9,5831.06
Haveri,2027,2758.4,5846.08
