District,Market Name,Variety,Modal Price (Rs./Quintal),Year,Month,Rainfall_Minus1,Rainfall_Minus2,Rainfall_Minus3,Total_Rainfall_3Months,Area_Hectare,Yield_TonnePerHectare
Belagavi,Athani,Soyabeen,3500,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Athani,Soyabeen,3400,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Athani,Soyabeen,3500,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Athani,Soyabeen,4000,2018,7,449.83,88.99,13.66,552.4799999999999,98198.35,1008.56
Belagavi,Athani,Soyabeen,4000,2020,5,35.42,14.15,0.0,49.57,96025.24,961.73
Belagavi,Athani,Soyabeen,6500,2021,6,247.17,30.21,2.34,279.72,95051.32,1003.58
Belagavi,Athani,Soyabeen,7000,2022,6,68.26,50.03,12.39,130.68,100451.55,994.26
Belagavi,Athani,Soyabeen,7000,2022,7,257.24,68.26,50.03,375.53,100451.55,994.26
Belagavi,Bailahongal,Local,3600,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3560,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3540,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3450,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3450,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,2950,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3000,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3450,2020,6,28.22,35.42,14.15,77.79,96025.24,961.73
Belagavi,Bailahongal,Local,3490,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3540,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3020,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3600,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3020,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3050,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3040,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3100,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3100,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3100,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3080,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3100,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3070,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3080,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3080,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3040,2020,5,35.42,14.15,0.0,49.57,96025.24,961.73
Belagavi,Bailahongal,Local,3050,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3080,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3100,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3100,2020,5,35.42,14.15,0.0,49.57,96025.24,961.73
Belagavi,Bailahongal,Local,3340,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3200,2020,6,28.22,35.42,14.15,77.79,96025.24,961.73
Belagavi,Bailahongal,Local,3540,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3620,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3100,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3420,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3150,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3140,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3140,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3200,2020,3,0.0,0.23,2.28,2.51,96025.24,961.73
Belagavi,Bailahongal,Local,3170,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3250,2020,8,508.03,407.91,28.22,944.16,96025.24,961.73
Belagavi,Bailahongal,Local,3220,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3250,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3450,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,4220,2020,12,0.3,252.1,375.14,627.54,96025.24,961.73
Belagavi,Bailahongal,Local,3200,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3240,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3260,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3270,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3270,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3250,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3280,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3250,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3270,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3280,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3250,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3280,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3280,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3280,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3350,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3450,2020,6,28.22,35.42,14.15,77.79,96025.24,961.73
Belagavi,Bailahongal,Local,3550,2020,9,618.2,508.03,407.91,1534.14,96025.24,961.73
Belagavi,Bailahongal,Local,3450,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3520,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3740,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3250,2018,10,126.24,223.24,448.42,797.9000000000001,98198.35,1008.56
Belagavi,Bailahongal,Local,3580,2020,9,618.2,508.03,407.91,1534.14,96025.24,961.73
Belagavi,Bailahongal,Local,3280,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3300,2018,12,16.11,51.47,126.24,193.82,98198.35,1008.56
Belagavi,Bailahongal,Local,3430,2020,10,375.14,618.2,508.03,1501.37,96025.24,961.73
Belagavi,Bailahongal,Local,3580,2020,9,618.2,508.03,407.91,1534.14,96025.24,961.73
Belagavi,Bailahongal,Local,3300,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3550,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3550,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3550,2020,9,618.2,508.03,407.91,1534.14,96025.24,961.73
Belagavi,Bailahongal,Local,3670,2020,9,618.2,508.03,407.91,1534.14,96025.24,961.73
Belagavi,Bailahongal,Local,3350,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3350,2020,7,407.91,28.22,35.42,471.55,96025.24,961.73
Belagavi,Bailahongal,Local,3310,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3320,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3340,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3320,2018,9,223.24,448.42,449.83,1121.49,98198.35,1008.56
Belagavi,Bailahongal,Local,3350,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3350,2020,5,35.42,14.15,0.0,49.57,96025.24,961.73
Belagavi,Bailahongal,Local,3350,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3350,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3350,2019,10,329.51,822.13,536.71,1688.35,101753.09,987.81
Belagavi,Bailahongal,Local,3640,2020,9,618.2,508.03,407.91,1534.14,96025.24,961.73
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3360,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3350,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3370,2019,1,3.46,16.11,51.47,71.03999999999999,101753.09,987.81
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
Belagavi,Bailahongal,Local,3360,2018,11,51.47,126.24,223.24,400.95,98198.35,1008.56
