District,Year,Area_Hectare,Yield_TonnePerHectare
Belagavi,2018,98198.35,1008.56
Belagavi,2019,101753.09,987.81
Belagavi,2020,96025.24,961.73
Belagavi,2021,95051.32,1003.58
Belagavi,2022,100451.55,994.26
Belagavi,2023,94678.4,1009.69
Belagavi,2024,102752.01,965.05
Belagavi,2025,96281.88,963.35
Belagavi,2026,97499.27,983.46
Belagavi,2027,98769.22,969.7
Bidar,2018,206062.37,1306.12
Bidar,2019,199547.26,1324.3
Bidar,2020,202887.78,1357.84
Bidar,2021,197662.86,1336.14
Bidar,2022,205666.25,1298.67
Bidar,2023,205974.58,1308.61
Bidar,2024,194919.49,1370.96
Bidar,2025,213271.79,1359.7
Bidar,2026,199801.36,1302.77
Bidar,2027,207537.36,1330.21
Dharwad,2018,38391.93,684.8
Dharwad,2019,38042.21,701.82
Dharwad,2020,38937.53,691.68
Dharwad,2021,39148.73,685.82
Dharwad,2022,40086.37,672.05
Dharwad,2023,41773.64,696.31
Dharwad,2024,41653.6,701.23
Dharwad,2025,40290.62,702.34
Dharwad,2026,38258.09,672.5
Dharwad,2027,38085.46,677.82
Gadag,2018,433.12,1131.26
Gadag,2019,452.4,1137.14
Gadag,2020,428.4,1149.94
Gadag,2021,422.27,1167.8
Gadag,2022,419.37,1180.51
Gadag,2023,449.92,1126.27
Gadag,2024,416.34,1168.71
Gadag,2025,447.06,1162.76
Gadag,2026,449.88,1117.69
Gadag,2027,431.8,1120.56
Haveri,2018,17854.59,702.16
Haveri,2019,16937.65,678.75
Haveri,2020,16903.34,689.69
Haveri,2021,17624.59,702.75
Haveri,2022,17896.13,695.84
Haveri,2023,16573.6,705.92
Haveri,2024,17678.31,699.56
Haveri,2025,17695.85,696.74
Haveri,2026,17268.17,693.97
Haveri,2027,16411.34,680.6
