District,Year,Month,Rainfall_mm
Gadag,2018,1,2.56
Gadag,2018,2,2.83
Gadag,2018,3,13.29
Gadag,2018,4,31.12
Gadag,2018,5,107.56
Gadag,2018,6,126.68
Gadag,2018,7,59.14
Gadag,2018,8,52.67
Gadag,2018,9,111
Gadag,2018,10,32.05
Gadag,2018,11,5.28
Gadag,2018,12,1.82
Gadag,2019,1,0.37
Gadag,2019,2,0.15
Gadag,2019,3,3.18
Gadag,2019,4,31.21
Gadag,2019,5,27.71
Gadag,2019,6,75.07
Gadag,2019,7,94.99
Gadag,2019,8,204.57
Gadag,2019,9,121.28
Gadag,2019,10,221.88
Gadag,2019,11,25.15
Gadag,2019,12,4.86
Gadag,2020,1,1.94
Gadag,2020,2,0
Gadag,2020,3,6.06
Gadag,2020,4,92.99
Gadag,2020,5,69.48
Gadag,2020,6,83.01
Gadag,2020,7,249.54
Gadag,2020,8,154.76
Gadag,2020,9,213.47
Gadag,2020,10,174.79
Gadag,2020,11,4.35
Gadag,2020,12,1.82
Gadag,2021,1,17.92
Gadag,2021,2,13.69
Gadag,2021,3,1.43
Gadag,2021,4,35.7
Gadag,2021,5,154.87
Gadag,2021,6,137.19
Gadag,2021,7,158.75
Gadag,2021,8,58.89
Gadag,2021,9,98.89
Gadag,2021,10,117.32
Gadag,2021,11,93.51
Gadag,2021,12,12.79
Gadag,2022,1,0.19
Gadag,2022,2,0
Gadag,2022,3,6.42
Gadag,2022,4,43.21
Gadag,2022,5,119.79
Gadag,2022,6,64.99
Gadag,2022,7,154.7
Gadag,2022,8,153.44
Gadag,2022,9,207.28
Gadag,2022,10,100.49
Gadag,2022,11,3.79
Gadag,2022,12,14
Gadag,2023,1,0.01
Gadag,2023,2,0
Gadag,2023,3,0.63
Gadag,2023,4,19.2
Gadag,2023,5,43.52
Gadag,2023,6,22.6
Gadag,2023,7,173.7
Gadag,2023,8,42.26
Gadag,2023,9,111.14
Gadag,2023,10,6.54
Gadag,2023,11,46.58
Gadag,2023,12,1.3
Gadag,2024,1,6.06
Gadag,2024,2,0
Gadag,2024,3,0.92
Gadag,2024,4,47.5
Gadag,2024,5,75.38
Gadag,2024,6,141.51
Gadag,2024,7,144.34
Gadag,2024,8,121.86
Gadag,2024,9,127.24
Gadag,2024,10,191.39
Gadag,2024,11,4.02
Gadag,2024,12,15.11
Gadag,2025,1,0
Gadag,2025,2,0.44
Gadag,2025,3,3.24
Gadag,2025,4,58.78
Gadag,2025,5,270.32
Gadag,2025,6,0
Gadag,2025,7,0
Gadag,2025,8,0
Gadag,2025,9,0
Gadag,2025,10,0
Gadag,2025,11,0
Gadag,2025,12,0
Dharwad,2018,1,1.84
Dharwad,2018,2,2.17
Dharwad,2018,3,12.46
Dharwad,2018,4,25.65
Dharwad,2018,5,120.33
Dharwad,2018,6,239.16
Dharwad,2018,7,194.14
Dharwad,2018,8,115.31
Dharwad,2018,9,118.36
Dharwad,2018,10,42.58
Dharwad,2018,11,6.23
Dharwad,2018,12,3.14
Dharwad,2019,1,0
Dharwad,2019,2,0.03
Dharwad,2019,3,6.82
Dharwad,2019,4,30.35
Dharwad,2019,5,17.97
Dharwad,2019,6,150.14
Dharwad,2019,7,257.39
Dharwad,2019,8,456.49
Dharwad,2019,9,190.66
Dharwad,2019,10,286.03
Dharwad,2019,11,23.85
Dharwad,2019,12,2.69
Dharwad,2020,1,1.27
Dharwad,2020,2,0
Dharwad,2020,3,11.04
Dharwad,2020,4,70.46
Dharwad,2020,5,55.48
Dharwad,2020,6,209.26
Dharwad,2020,7,361.31
Dharwad,2020,8,343.15
Dharwad,2020,9,286.66
Dharwad,2020,10,204.92
Dharwad,2020,11,1.46
Dharwad,2020,12,1.96
Dharwad,2021,1,11.71
Dharwad,2021,2,12.44
Dharwad,2021,3,3.4
Dharwad,2021,4,33.64
Dharwad,2021,5,212.61
Dharwad,2021,6,273.55
Dharwad,2021,7,323.33
Dharwad,2021,8,89.46
Dharwad,2021,9,146.94
Dharwad,2021,10,119.8
Dharwad,2021,11,102.69
Dharwad,2021,12,33.5
Dharwad,2022,1,0.05
Dharwad,2022,2,0
Dharwad,2022,3,10.41
Dharwad,2022,4,47.32
Dharwad,2022,5,103.64
Dharwad,2022,6,141.54
Dharwad,2022,7,292.93
Dharwad,2022,8,214.45
Dharwad,2022,9,215.99
Dharwad,2022,10,104.92
Dharwad,2022,11,3.42
Dharwad,2022,12,9.76
Dharwad,2023,1,0.02
Dharwad,2023,2,0
Dharwad,2023,3,0.02
Dharwad,2023,4,13.32
Dharwad,2023,5,39.56
Dharwad,2023,6,74.89
Dharwad,2023,7,379.57
Dharwad,2023,8,61.49
Dharwad,2023,9,155.32
Dharwad,2023,10,14.8
Dharwad,2023,11,42.59
Dharwad,2023,12,0.73
Dharwad,2024,1,9.04
Dharwad,2024,2,0
Dharwad,2024,3,0.71
Dharwad,2024,4,54.23
Dharwad,2024,5,78.2
Dharwad,2024,6,233.04
Dharwad,2024,7,428.11
Dharwad,2024,8,210.75
Dharwad,2024,9,190.19
Dharwad,2024,10,237.1
Dharwad,2024,11,5.64
Dharwad,2024,12,15.86
Dharwad,2025,1,0
Dharwad,2025,2,0.31
Dharwad,2025,3,6.73
Dharwad,2025,4,49.06
Dharwad,2025,5,495.96
Dharwad,2025,6,0
Dharwad,2025,7,0
Dharwad,2025,8,0
Dharwad,2025,9,0
Dharwad,2025,10,0
Dharwad,2025,11,0
Dharwad,2025,12,0
Belagavi,2018,1,0.34
Belagavi,2018,2,0.48
Belagavi,2018,3,8.1
Belagavi,2018,4,13.66
Belagavi,2018,5,88.99
Belagavi,2018,6,449.83
Belagavi,2018,7,448.42
Belagavi,2018,8,223.24
